hasInput,hasInput,hasOutput,hasOutput,title,@id,@type,subClassOf,subClassOf,subClassOf,subClassOf,subClassOf,subClassOf
datasettype:SMILES,,,,"MultiCASE CASE Ultra commercial model RC2_AF4 for Rodent carcinogenicity in female mouse in vivo,
Danish QSAR Group at DTU Food",https://w3id.org/pink/activity/activity0,owl:Class,http://www.w3.org/ns/prov#Activity,https://w3id.org/pink#Computation,,,,
,,,,Tox21 HEK293T Gonadotropin-releasing Hormone (GnRH) Receptor Agonism Assay,https://w3id.org/pink/activity/activity1,owl:Class,http://www.w3.org/ns/prov#Activity,https://w3id.org/pink#Computation,,,,
datasettype:SMILES,,qsar:ProfilerCarcinogenicityAlertsByISS,,Carcinogenicity (genotox and nongenotox) alerts by ISS,https://w3id.org/pink/activity/activity2,owl:Class,http://www.w3.org/ns/prov#Activity,https://w3id.org/pink#Computation,,,,
datasettype:SMILES,,,,GeneTox_detail,https://w3id.org/pink/activity/activity3,owl:Class,http://www.w3.org/ns/prov#Activity,https://w3id.org/pink#Computation,,,,
datasettype:SMILES,,,,Atmos. Hydroxylation Rate,https://w3id.org/pink/activity/activity4,owl:Class,http://www.w3.org/ns/prov#Activity,https://w3id.org/pink#Computation,,,,
datasettype:SMILES,,,,Animal Carcinogenicity prediction according to OECD Test No. 451,https://w3id.org/pink/activity/activity5,owl:Class,http://www.w3.org/ns/prov#Activity,https://w3id.org/pink#Computation,,,,
datasettype:SMILES,,,,Skin Reaction TDCommons,https://w3id.org/pink/activity/activity6,owl:Class,http://www.w3.org/ns/prov#Activity,https://w3id.org/pink#Computation,,,,
datasettype:ChemicalStructureDataset,,datasettype:MechanicalPropertiesDataset,,CNR SMILES to mechanical properties workflow - molecular scale,https://w3id.org/pink/activity/activity7,owl:Class,http://www.w3.org/ns/prov#Activity,https://w3id.org/pink#Computation,https://w3id.org/pink#FunctionalityAssessment,,,
datasettype:ChemicalStructureDataset,,datasettype:ChemicalStructureDataset,,CNR polymer builder module - molecular scale,https://w3id.org/pink/activity/activity8,owl:Class,http://www.w3.org/ns/prov#Activity,https://w3id.org/pink#Computation,https://w3id.org/pink#FunctionalityAssessment,,,
datasettype:ChemicalStructureDataset,,datasettype:InteractionPotentialParameters,,CNR force field builder module - molecular scale,https://w3id.org/pink/activity/activity9,owl:Class,http://www.w3.org/ns/prov#Activity,https://w3id.org/pink#Computation,https://w3id.org/pink#FunctionalityAssessment,,,
datasettype:ChemicalStructureDataset,datasettype:InteractionPotentialParameters,datasettype:ChemicalStructureDataset,,CNR bulk builder module - molecular scale,https://w3id.org/pink/activity/activity10,owl:Class,http://www.w3.org/ns/prov#Activity,https://w3id.org/pink#Computation,https://w3id.org/pink#FunctionalityAssessment,,,
datasettype:ChemicalStructureDataset,datasettype:InteractionPotentialParameters,datasettype:MechanicalPropertiesDataset,,CNR Young's modulus calculator module - molecular scale,https://w3id.org/pink/activity/activity11,owl:Class,http://www.w3.org/ns/prov#Activity,https://w3id.org/pink#Computation,https://w3id.org/pink#FunctionalityAssessment,https://w3id.org/pink#PhysicalPropertiesAssessment,https://w3id.org/pink#MechanicalPropertiesAssessment,
datasettype:ChemicalStructureDataset,datasettype:InteractionPotentialParameters,datasettype:MechanicalPropertiesDataset,,CNR mechanical properties calculator module - molecular scale,https://w3id.org/pink/activity/activity12,owl:Class,http://www.w3.org/ns/prov#Activity,https://w3id.org/pink#Computation,https://w3id.org/pink#FunctionalityAssessment,https://w3id.org/pink#PhysicalPropertiesAssessment,https://w3id.org/pink#MechanicalPropertiesAssessment,https://w3id.org/pink#ThermalPropertiesAssessment
,,,,,https://w3id.org/pink/activity/activity13,owl:Class,http://www.w3.org/ns/prov#Activity,https://w3id.org/pink#Computation,,,,
,,,,Tiered NAM-based safety testing workflow,https://w3id.org/pink/activity/activity14,owl:Class,http://www.w3.org/ns/prov#Activity,https://w3id.org/pink#Computation,,,,
datasettype:ChemicalStructureDataset,datasettype:NWChemParameters,datasettype:Energy,datasettype:ChemicalStructureDataset,NWChemDFTGeometryOptimisation,https://w3id.org/pink/activity/activity15,owl:Class,http://www.w3.org/ns/prov#Activity,https://w3id.org/pink#Computation,https://w3id.org/pink#FunctionalityAssessment,,,
,,,,Hamaker Extended tool,https://w3id.org/pink/activity/activity16,owl:Class,http://www.w3.org/ns/prov#Activity,https://w3id.org/pink#Computation,https://w3id.org/pink#FunctionalityAssessment,,,
,,,,Zeta Predict Extended tool,https://w3id.org/pink/activity/activity17,owl:Class,http://www.w3.org/ns/prov#Activity,https://w3id.org/pink#Computation,https://w3id.org/pink#FunctionalityAssessment,,,
,,,,NanoBioConstruct,https://w3id.org/pink/activity/activity18,owl:Class,http://www.w3.org/ns/prov#Activity,https://w3id.org/pink#Computation,https://w3id.org/pink#FunctionalityAssessment,,,
,,,,PINK ChemInformatics Suite,https://w3id.org/pink/activity/activity19,owl:Class,http://www.w3.org/ns/prov#Activity,https://w3id.org/pink#Computation,,,,
,,,,Life Cycle Impact prediction Tool,https://w3id.org/pink/activity/activity20,owl:Class,http://www.w3.org/ns/prov#Activity,https://w3id.org/pink#Computation,,,,
datasettype:FuelConsumptionInput,,datasettype:FuelConsumptionOutput,,Life Cycle Inventory calculation tool (energy/material flows),https://w3id.org/pink/activity/activity21,owl:Class,http://www.w3.org/ns/prov#Activity,https://w3id.org/pink#Computation,,,,
datasettype:RNACounts,,datasettype:differentialExpressionOutput,,Gene Expression assessment for an arbtitrary exposure,https://w3id.org/pink/activity/activity22,owl:Class,http://www.w3.org/ns/prov#Activity,https://w3id.org/pink#Computation,,,,
datasettype:geneList,,datasettype:geneSetEnrichmentOutput,,Gene set enrichment to understand affected pathways from transcriptomic_example1,https://w3id.org/pink/activity/activity23,owl:Class,http://www.w3.org/ns/prov#Activity,https://w3id.org/pink#Computation,,,,
,,,,Predictive Toxicogenomics Space,https://w3id.org/pink/activity/activity24,owl:Class,http://www.w3.org/ns/prov#Activity,https://w3id.org/pink#Computation,,,,
,,,,"Automated data FAIRification, preprocessing and Tox5Score calculation",https://w3id.org/pink/activity/activity25,owl:Class,http://www.w3.org/ns/prov#Activity,https://w3id.org/pink#Computation,,,,
,,,,Science in Risk Assessment and Policy for nanomaterials,https://w3id.org/pink/activity/activity26,owl:Class,http://www.w3.org/ns/prov#Activity,https://w3id.org/pink#Computation,,,,
