@id,@type,subClassOf,subClassOf,prefLabel,label,ssbdDimension,description
pink:Assessment,owl:Class,,,Assessment,Assessment,,"The process of evaluating the quality, performance, or impact of a substance, product, or process."
pink:SSbDAssessment,owl:Class,pink:Assessment,,SSbDAssessment,SSbD Assessment,,"An assessment of the safety and sustainability of chemicals and materials across their life cycle. May include hazard, safety, environmental, and functionality assessments."
pink:FunctionalityAssessment,owl:Class,pink:Assessment,,FunctionalityAssessment,Functionality Assessment,FunctionalityDimension,The superclass of all SSbD Assessments within the dimenstion functionality.
pink:MechanicalPropertiesAssessment,owl:Class,pink:FunctionalityAssessment,,MechanicalPropertiesAssessment,Mechanical Properties Assessment,,Assessment of mechanical properties of chemicals and materials.
pink:ThermalPropertiesAssessment,owl:Class,pink:FunctionalityAssessment,,ThermalPropertiesAssessment,Thermal Properties Assessment,,Assessment of thermal properties of chemicals and materials.
pink:PhysicalPropertiesAssessment,owl:Class,pink:FunctionalityAssessment,,PhysicalPropertiesAssessment,Physical Properties Assessment,,Assessment of physical properties of chemicals and materials.
pink:YoungsModulusAssessment,owl:Class,pink:MechanicalPropertiesAssessment,,YoungsModulusAssessment,Young's Modulus Assessment,,Assessment of Young's modulus of materials.
pink:BulkModulusAssessment,owl:Class,pink:MechanicalPropertiesAssessment,,BulkModulusAssessment,Bulk Modulus Assessment,,Assessment of bulk modulus of materials.
pink:PoissonsRatioAssessment,owl:Class,pink:MechanicalPropertiesAssessment,,PoissonsRatioAssessment,Poisson's Ratio Assessment,,Assessment of Poisson's ratio of materials.
pink:GlassTransitionTemperatureAssessment,owl:Class,pink:ThermalPropertiesAssessment,,GlassTransitionTemperatureAssessment,Glass Transition Temperature Assessment,,Assessment of glass transition temperature of materials.
pink:DensityAssessment,owl:Class,pink:PhysicalPropertiesAssessment,,DensityAssessment,Density Assessment,,Assessment of density of chemicals and materials.
,,,,,,,
pink:SsbdDimension,owl:Class,,,SsbdDimension,SSbD Dimension,,"The superclass of all dimensions relevant for SSbD assessments."
pink:FunctionalityDimension,owl:Class,pink:SsbdDimension,,FunctionalityDimension,,,The dimension of functionality in the context of SSbD assessments.
pink:SafetyDimension,owl:Class,pink:SsbdDimension,,SafetyDimension,Safety Dimension,,The dimension of safety in the context of SSbD assessments.
pink:EnvironmentalDimension,owl:Class,pink:SsbdDimension,,EnvironmentalDimension,,,The dimension of environmental impact in the context of SSbD assessments.
pink:SocialDimension,owl:Class,pink:SsbdDimension,,SocialDimension,,,The dimension of social impact in the context of SSbD assessments.
pink:EconomicDimension,owl:Class,pink:SsbdDimension,,EconomicDimension,Economic Dimension,,The dimension of economic impact in the context of SSbD assessments.
